ID,fq6,fq14_ch_age,fq14_3,f_sep,ss_all,asbi_express,asbi_comply,asbi_disrupt,ch_ST_recs,ch_PA_recs,fq16_st_wk_trunc_hrs,fq16_tv_hrs,fq16_comp_hrs,fq18_avg_out_hrs
300039,Female,3.449692,No,3,81,36,29,10,1,0,0.9285715,0.9285715,0,0.6428572
30581,Female,5.341547,No,3,86,39,29,8,0,0,2,2,0,2.214286
30682,Female,2.798084,No,2,78,33,27,8,1,1,0.1428571,0,0.1428571,10.85714
30486,Female,3.244353,No,3,67,31,20,10,0,0,1.285714,1.142857,0.1428571,2.071429
30671,Male,4.544832,Yes,3,77,37,25,11,0,0,3.357143,1.857143,1.5,2.285714
30756,Male,4.511978,No,3,83,36,30,9,1,0,0.3571429,0.3571429,0,2.785714
30212,Female,3.263518,No,3,81,38,26,9,0,1,1.357143,0.5,0.8571428,5.285714
30678,Male,3.455168,Yes,1,48,23,12,15,0,1,4,1.285714,2.714286,3.571429
30069,Female,3.033539,No,3,77,38,26,13,0,0,2.857143,1.714286,1.142857,2.785714
30387,Male,2.064339,No,3,79,39,23,9,1,1,0.5,0.5,0,3.857143
30545,Female,2.324435,No,2,62,28,19,11,1,0,1,1,0,1.642857
30171,Female,4.013689,No,3,73,32,23,8,1,1,0.1428571,0.1428571,0,4.571428
30951,Male,4.030117,No,3,78,34,28,10,0,0,1.642857,0.1428571,1.5,1.785714
30411,Female,4.689939,No,3,77,33,27,9,1,0,0,0,0,2.357143
30526,Male,4.572211,No,3,74,33,29,14,0,1,1.642857,1.142857,0.5,3.571429
30364,Male,5.366188,Yes,3,64,31,16,9,0,1,4.214286,3.357143,0.8571428,5.285714
30496,Male,4.210814,No,1,82,39,27,10,0,0,3.214286,1.285714,1.928571,2.571429
30946,Female,3.679672,No,3,77,38,24,11,0,0,2.785714,2.285714,0.5,2.857143
30464,Female,3.964408,No,3,80,35,28,9,1,0,0.3571429,0.3571429,0,2.571429
30950,Female,2.370979,No,3,69,30,26,13,0,0,1.857143,1.357143,0.5,2
30610,Female,3.88501,No,2,76,36,25,11,0,0,2.071429,1.428571,0.6428572,2.285714
300013,Female,3.835729,No,3,76,32,25,7,0,1,8.785715,8.285714,0.5,5
30739,Female,4.024641,No,3,81,39,27,11,0,1,1.142857,0.6428572,0.5,5.142858
30254,Male,3.383984,No,3,73,37,24,14,1,1,0.6428572,0.6428572,0,3.571429
30651,Female,4.013689,No,3,73,37,23,13,0,1,1.714286,1.214286,0.5,4
